NOTICE_REF,NOTICE_TITLE,NOTICE_DATETIME,NOTICE_CONTENT
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/452657/index.html,关于东城区东花市南里路 采取交通管理措施的通告,2016-05-12,北京市公安局公安交通管理局通告为保证东城区东花市南里路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月16日起，东城区东花市南里路广渠门中学门前禁止机动车由东向东和西向西方向掉头；东花市南里路与白桥大街交叉口禁止机动车由西向西方向掉头。特此通告。 北京市公安局公安交通管理局 　2016年5月11日2016年第31号关于东城区东花市南里路采取交通管理措施的通告为保证东城区东花市南里路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月16日起，东城区东花市南里路广渠门中学门前禁止机动车由东向东和西向西方向掉头；东花市南里路与白桥大街交叉口禁止机动车由西向西方向掉头。特此通告。 北京市公安局公安交通管理局 　2016年5月11日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/452654/index.html,关于海淀区圆明园西路辅路与燕北园小区路 交叉口采取交通管理措施的通告,2016-05-12,北京市公安局公安交通管理局通告为保证海淀区圆明园西路辅路与燕北园小区路交叉口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月16日起，海淀区圆明园西路辅路与燕北园小区路交叉口禁止由南向东方向右转。特此通告。 北京市公安局公安交通管理局 　2016年5月11日2016年第30号关于海淀区圆明园西路辅路与燕北园小区路交叉口采取交通管理措施的通告为保证海淀区圆明园西路辅路与燕北园小区路交叉口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月16日起，海淀区圆明园西路辅路与燕北园小区路交叉口禁止由南向东方向右转。特此通告。 北京市公安局公安交通管理局 　2016年5月11日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/442148/index.html,关于西城区乐道巷禁止机动车 由西向东方向行驶的通告,2016-03-16,北京市公安局公安交通管理局通告 北京市公安局公安交通管理局 　　2016年3月8日2016年第15号关于西城区乐道巷禁止机动车由西向东方向行驶的通告 北京市公安局公安交通管理局 　　2016年3月8日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/430410/index.html,关于2016年“元旦”期间 调整本市机动车和非本市进京载客汽车 交通管理措施的公告,2015-12-29,北京市公安局公安交通管理局通告根据国务院办公厅关于2016年部分节假日的安排， 2016年1月1日至1月3日期间，对本市机动车和非本市进京载客汽车交通管理措施进行以下调整：一、本市机动车不受工作日高峰时段区域限行交通管理措施的限制。二、非本市进京载客汽车不受7时至9时、17时至20时禁止在五环路（含）以内道路行驶和9时至17时按车牌尾号区域限行交通管理措施的限制。特此公告。 北京市公安局公安交通管理局 　 2015年12月28日（2015年 第7号）关于2016年“元旦”期间调整本市机动车和非本市进京载客汽车交通管理措施的公告根据国务院办公厅关于2016年部分节假日的安排， 2016年1月1日至1月3日期间，对本市机动车和非本市进京载客汽车交通管理措施进行以下调整：一、本市机动车不受工作日高峰时段区域限行交通管理措施的限制。二、非本市进京载客汽车不受7时至9时、17时至20时禁止在五环路（含）以内道路行驶和9时至17时按车牌尾号区域限行交通管理措施的限制。特此公告。 北京市公安局公安交通管理局 　 2015年12月28日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/452325/index.html,关于丰台区西罗园路口行人 过街天桥桥梁吊装期间马家堡东路 （洋桥桥下路口-革新南路路口） 双向禁止机动车通行的通告,2016-05-10,北京市公安局公安交通管理局通告经有关部门批准，丰台区西罗园路口行人过街天桥将进行桥梁吊装施工。为保证施工期间的道路交通安全与畅通，根据《中华人民共和国道路交通安全法》及《中华人民共和国道路交通安全法实施条例》的有关规定，决定2016年5月19日0时至5时，丰台区马家堡东路洋桥桥下路口至革新南路路口段双向禁止机动车通行，机动车可绕行南三环路、永外大街、革新南路和马家堡路。特此通告。 　　 北京市公安局公安交通管理局 　2016年5月9日2016年第29号关于丰台区西罗园路口行人过街天桥桥梁吊装期间马家堡东路（洋桥桥下路口-革新南路路口）双向禁止机动车通行的通告经有关部门批准，丰台区西罗园路口行人过街天桥将进行桥梁吊装施工。为保证施工期间的道路交通安全与畅通，根据《中华人民共和国道路交通安全法》及《中华人民共和国道路交通安全法实施条例》的有关规定，决定2016年5月19日0时至5时，丰台区马家堡东路洋桥桥下路口至革新南路路口段双向禁止机动车通行，机动车可绕行南三环路、永外大街、革新南路和马家堡路。特此通告。 　　 北京市公安局公安交通管理局 　2016年5月9日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/440725/index.html,关于西城区赵登禹路与西四北四条相交路口 采取交通管理措施的通告,2016-03-09,北京市公安局公安交通管理局通告 北京市公安局公安交通管理局 　2016年3月7日2016年第14号关于西城区赵登禹路与西四北四条相交路口采取交通管理措施的通告 北京市公安局公安交通管理局 　2016年3月7日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/429490/index.html,关于西城区新文化街部分路段 调整交通管理措施的通告,2015-12-22,北京市公安局公安交通管理局通告为保证西城区新文化街的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月28日起，西城区新文化街（佟麟阁路至宣武门内大街之间路段），由7时至9时、15时至18时，调整为全天禁止机动车由东向西方向行驶。特此通告。 北京市公安局公安交通管理局 2015年12月21日2015年第55号关于西城区新文化街部分路段调整交通管理措施的通告为保证西城区新文化街的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月28日起，西城区新文化街（佟麟阁路至宣武门内大街之间路段），由7时至9时、15时至18时，调整为全天禁止机动车由东向西方向行驶。特此通告。 北京市公安局公安交通管理局 2015年12月21日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/450978/index.html,关于六环路顺义城区出入口 采取交通管理措施的通告,2016-05-03,北京市公安局公安交通管理局通告为保证六环路顺义城区出入口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月15日起，禁止核定载质量5吨（含）以上载货汽车由六环路顺义城区出口驶出及由六环路顺义城区入口驶入。特此通告。 　　 　　 北京市公安局公安交通管理局 　2016年4月28日2016年第28号关于六环路顺义城区出入口采取交通管理措施的通告为保证六环路顺义城区出入口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月15日起，禁止核定载质量5吨（含）以上载货汽车由六环路顺义城区出口驶出及由六环路顺义城区入口驶入。特此通告。 　　 　　 北京市公安局公安交通管理局 　2016年4月28日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/440512/index.html,关于对厢红旗路与香山路相交路口 采取交通管理措施的通告,2016-03-07,北京市公安局公安交通管理局通告 北京市公安局公安交通管理局 　2016年3月1日2016年第13号关于对厢红旗路与香山路相交路口采取交通管理措施的通告 北京市公安局公安交通管理局 　2016年3月1日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/429487/index.html,关于对西城区部分道路 采取交通管理措施的通告,2015-12-22,北京市公安局公安交通管理局通告 为保证西城区部分道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月28日起，对西城区部分道路采取以下交通管理措施：一、大茶叶胡同（赵登禹路至翠花街之间路段）禁止机动车由西向东方向行驶；二、翠花街（大茶叶胡同至大玉胡同之间路段）禁止机动车由北向南方向行驶。特此通告。 北京市公安局公安交通管理局 2015年12月21日2015年第54号关于对西城区部分道路采取交通管理措施的通告 为保证西城区部分道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月28日起，对西城区部分道路采取以下交通管理措施：一、大茶叶胡同（赵登禹路至翠花街之间路段）禁止机动车由西向东方向行驶；二、翠花街（大茶叶胡同至大玉胡同之间路段）禁止机动车由北向南方向行驶。特此通告。 北京市公安局公安交通管理局 2015年12月21日
